CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,symbol,Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,Thuế TNDN,Lãi cơ bản trên cổ phiếu
TCB,2016,3,0.2901094165,3981168000000,1022338000000,1.529569101,,,,,,,,,,,-1094092000000,,,,,,1276856000000,-254518000000,0,1022338000000,0,1022338000000,TCB,3981168000000,-1968760000000,2012408000000,643052000000,-143710000000,499342000000,73831000000,38260000000,105990000000,291797000000,-208708000000,83089000000,0,2812920000000,1718828000000,-441972000000,-254518000000,
TCB,2016,2,0.242192692,4020579000000,792156000000,0.6143650192,,,,,,,,,,,-834924000000,,,,,,1004910000000,-212753000000,-1000000,792156000000,0,792156000000,TCB,4020579000000,-1827148000000,2193431000000,526728000000,-134610000000,392118000000,12778000000,28230000000,131061000000,115836000000,-130069000000,-14233000000,390000000,2743775000000,1908851000000,-903941000000,-212754000000,
TCB,2016,1,0.07804113519,3772799000000,475742000000,0.517053789,,,,,,,,,,,-981994000000,,,,,,582428000000,-106675000000,-11000000,475742000000,0,475742000000,TCB,3772799000000,-1751073000000,2021726000000,666056000000,-108121000000,557935000000,74960000000,8293000000,134053000000,464857000000,-98651000000,366206000000,80000000,3163253000000,2181259000000,-1598831000000,-106686000000,
TCB,2015,4,0.07126396024,3552818000000,375766000000,1.088540335,,,,,,,,,,,-1161149000000,,,,,,485222000000,-89686000000,-19770000000,375766000000,0,375766000000,TCB,3552818000000,-1491257000000,2061561000000,527409000000,-176539000000,350870000000,-113726000000,126564000000,-191550000000,345355000000,-96950000000,248405000000,1659000000,2483783000000,1322634000000,-837412000000,-109456000000,
TCB,2015,3,-0.07979632105,3085915000000,404155000000,1.496401989,,,,,,,,,,,-904587000000,,,,,,519896000000,-111910000000,-3831000000,404155000000,0,404155000000,TCB,3085915000000,-1525727000000,1560188000000,469807000000,-132760000000,337047000000,-89149000000,66508000000,-36791000000,771950000000,-509899000000,262051000000,0,2099854000000,1195267000000,-675371000000,-115741000000,
TCB,2015,2,0.04857927229,3236679000000,490692000000,1.283647939,,,,,,,,,,,-798700000000,,,,,,623609000000,-132807000000,-110000000,490692000000,0,490692000000,TCB,3236679000000,-1512212000000,1724467000000,346875000000,-114396000000,232479000000,12460000000,48292000000,-82632000000,672902000000,-470765000000,202137000000,8299000000,2145502000000,1346802000000,-723193000000,-132917000000,
TCB,2015,1,0.1022950937,3499680000000,313596000000,-0.4028710539,,,,,,,,,,,-831569000000,,,,,,408204000000,-94164000000,-444000000,313596000000,0,313596000000,TCB,3499680000000,-1638015000000,1861665000000,340884000000,-122305000000,218579000000,-1587000000,62213000000,158744000000,519638000000,-192378000000,327260000000,857000000,2627731000000,1796162000000,-1387958000000,-94608000000,
TCB,2014,4,0.06701480191,3316473000000,179918000000,0.869472153,,,,,,,,,,,-1098840000000,,,,,,254045000000,-74642000000,515000000,179918000000,0,179918000000,TCB,3316473000000,-1725599000000,1590874000000,376876000000,-144857000000,232019000000,16876000000,24125000000,-63168000000,373791000000,-231426000000,142365000000,0,1943091000000,844251000000,-590206000000,-74127000000,
TCB,2014,3,0.05840003737,3353513000000,161895000000,2.026753664,,,,,,,,,,,-765986000000,,,,,,214245000000,-48349000000,-4001000000,161895000000,0,161895000000,TCB,3353513000000,-1749410000000,1604103000000,332440000000,-92392000000,240048000000,7429000000,58104000000,71908000000,260367000000,-168217000000,92150000000,2974000000,2076716000000,1310730000000,-1096485000000,-52350000000,
TCB,2014,2,-0.04229001902,3086728000000,214872000000,1.266151996,,,,,,,,,,,-776290000000,,,,,,275595000000,-53879000000,-6844000000,214872000000,0,214872000000,TCB,3086728000000,-1802858000000,1283870000000,418163000000,-202712000000,215451000000,-21982000000,-25147000000,38532000000,212996000000,-160304000000,52692000000,1467000000,1544883000000,768593000000,-492998000000,-60723000000,
TCB,2014,1,-0.1604388276,3174903000000,525173000000,0.321552325,,,,,,,,,,,-789929000000,,,,,,673136000000,-147213000000,-750000000,525173000000,0,525173000000,TCB,3174903000000,-1881120000000,1293783000000,537926000000,-102861000000,435065000000,20575000000,40145000000,30382000000,138768000000,-417528000000,-278760000000,552000000,1541742000000,751813000000,-78677000000,-147963000000,
